Org_name,Latitude,Longitude,Street_address,Area of the city,zip,City,state,Division,Subdivision,Category,Website
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Academic remediation,Literacy,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Education and skill building supports,Academic remediation,Literacy,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Education and skill building supports,Academic remediation,Literacy,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Academic remediation,Literacy,http://howardarea.org/adults/
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Education and skill building supports,Academic remediation,Literacy,
Literacy Works,41.9948935,-87.6704411,6216 N Clark St,Edgewater,60660,Chicago,Illinois,Education and skill building supports,Academic remediation,Literacy,
Poder Learning Center,41.858625,-87.6573141,1637 S Allport St,Lower West Side,,Chicago,Illinois,Education and skill building supports,Academic remediation,Literacy,http://poderworks.org/
Books to Women in Prison Chicago ,41.963619,-87.672111,4511 N Hermitage Ave,,60640,Chicago,Illinois,Stabilization Supports,Basic Needs,Food and clothing assistance (and other goods),https://chicagobwp.org/
House of Mercy & Grace Organization,41.863862,-87.6589042,1345 S Throop St,Near West Side,,Chicago,Illinois,Stabilization Supports,Basic Needs,Food and clothing assistance (and other goods),
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Basic Needs,Food and clothing assistance (and other goods),http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Stabilization Supports,Basic Needs,Food and clothing assistance (and other goods),http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Stabilization Supports,Basic Needs,Food and clothing assistance (and other goods),http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Stabilization Supports,Basic Needs,Food and clothing assistance (and other goods),http://howardarea.org/adults/
I Grow Chicago,41.777353,-87.670586,6402 S Honore St,West Englewood,60636,Chicago,Illinois,Stabilization Supports,Basic Needs,Food and clothing assistance (and other goods),http://www.igrowchicago.org/programs/
Open Books,41.8853831,-87.6447707,651 W Lake St,West Loop Gate,60661,Chicago,Illinois,Stabilization Supports,Basic Needs,Food and clothing assistance (and other goods),http://www.open-books.org/
Connections Abused Women & Their Children,41.901496,-87.707581,1117 N Kedzie Ave,,60651,Chicago,Illinois,Stabilization Supports,Basic Needs,Homeless services,http://www.cawc.org/cawc-program-stats/
Family Rescue Inc,41.7280317,-87.5514868,9206 S Commercial Ave,North Lawndale,,Chicago,Illinois,Stabilization Supports,Basic Needs,Homeless services,https://familyrescueinc.org/programs-services/ridgeland-apartments-daycare/
House of Mercy & Grace Organization,41.863862,-87.6589042,1345 S Throop St,Near West Side,,Chicago,Illinois,Stabilization Supports,Basic Needs,Homeless Services,
Hsi Community Homes,41.8746004,-87.74237,415 S Kilpatrick Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Basic Needs,Homeless services,http://www.habilitative.org/hsiservices/adultservicesmenu
Hsi Community Homes,41.8746004,-87.74237,415 S Kilpatrick Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Basic Needs,Homeless services,http://www.habilitative.org/hsiservices/adultservicesmenu
Mercy Home for Boys and Girls,41.878745,-87.6557695,1129 W Adams St,Near West Side,60609,Chicago,Illinois,Stabilization Supports,Basic Needs,Homeless services,https://www.mercyhome.org/friends-first-mentoring/#.WY4KB3eGNjs
Mercy Home for Boys and Girls,41.8779878,-87.6559377,1142 W Jackson Blvd,Near West Side,60609,Chicago,Illinois,Stabilization Supports,Basic Needs,Homeless services,https://www.mercyhome.org/friends-first-mentoring/#.WY4KB3eGNjs
Neopolitan Lighthouse ,41.897447,-87.710235,864 N Christiana Ave,Humboldt Park,,Chicago,Illinois,Stabilization Supports,Basic Needs,Homeless services,https://www.nhschicago.org/
United Way Lake County,41.8858502,-87.6423475,560 W Lake St,West Loop,60661,Chicago,Illinois,Stabilization Supports,Basic Needs,Homeless Services,
Chinese American Service League,41.854391,-87.63558,2150 S Tan Ct,,60616,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing counseling,https://www.caslservice.org/
Action Now,41.878272,-87.6480603,820 W Jackson Blvd,Near West Side,60607,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,http://www.actionnow.org/
Deborah's Place,41.8776959,-87.6972509,2822 W Jackson Blvd,East Garfield Park,60612,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,https://www.deborahsplace.org/
Deborah's Place,41.8776959,-87.6972509,2822 W Jackson Blvd,East Garfield Park,60612,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,https://www.deborahsplace.org/
Family Rescue Inc,41.7280317,-87.5514868,9207 S Commercial Ave,North Lawndale,,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,https://familyrescueinc.org/programs-services/ridgeland-apartments-daycare/
Featherfist,41.7304536,-87.6073019,9020 S Langley Ave,Chatham,,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,http://www.featherfist.org/
Housing Opportunities for Women,42.019196,-87.671522,1607 Howard St ,,60626,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,https://www.how-inc.org/services
Hsi Community Homes,41.8746004,-87.74237,415 S Kilpatrick Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,http://www.habilitative.org/hsiservices/adultservicesmenu
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,
Mercy Housing,41.8773645,-87.7490637,4943 W Quincy St,Austin,60644,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,
Neighborhood Housing Services,41.7789875,-87.6889756,2609 W 63Rd St,Chicago Lawn,,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,https://www.nhschicago.org/
Neighborhood Housing Services,41.6942149,-87.6205519,11001 S Michigan Ave,Roseland,60628,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,https://www.nhschicago.org/
Neighborhood Housing Services,41.8943769,-87.7648595,757 N Central Ave,Austin,60644,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,https://www.nhschicago.org/
New Moms Inc,41.894717,-87.7588602,5317 W Chicago Ave,Austin,60651,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,https://newmoms.org/what-we-do/programs/
Westside Interracial Development Association,41.882198,-87.7604734,5403 W Washington Blvd,Austin,60644,Chicago,Illinois,Stabilization Supports,Basic Needs,Housing services,
Austin People's Action Center,41.8947084,-87.7540449,5126 W Chicago Ave,Austin,60644,Chicago,Illinois,Job Training and Placement Supports,Career Development,Apprenticeship/mentoring,http://austinpeoplesactioncenter.org/programs/
K.L.E.O. Community Family Life Center,41.794097,-87.621743,119 E Garfield Blvd,,60637,Chicago,Illinois,Job Training and Placement Supports,Career Development,Apprenticeship/mentoring,
Puerto Rican Arts Alliance,41.9077397,-87.7014119,1440 N Humboldt Dr,West Town,60622,Chicago,Illinois,Job Training and Placement Supports,Career Development,Apprenticeship/mentoring,http://www.praachicago.org/
Career Consulting Youth Program,41.7479608,-87.6120902,8049 S Eberhart Ave,Chatham,,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career advising/counseling,http://www.buzzfile.com/business/Ccyp-773-765-8202
Chinese American Service League,41.854391,-87.63558,2146 S Tan Ct,,60616,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career advising/counseling,https://www.caslservice.org/
Envision Unlimited - Halas Vocation Center,41.7387708,-87.6415504,8565 S Vincennes Ave,Auburn Gresham,60620,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career advising/counseling,http://www.envisionunlimited.org/
Genesys Works,41.885519,-87.626548,181 N. Wabash Ave.,,60601,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career advising/counseling,http://www.genesysworks.org/model-impact/
Neopolitan Lighthouse ,41.897447,-87.710235,864 N Christiana Ave,Humboldt Park,,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career advising/counseling,https://www.nhschicago.org/
Pearson/Certiport,41.8834462,-87.6518403,954 W Washington Blvd,West Loop,60607,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career advising/counseling,https://home.pearsonvue.com/About-Pearson-VUE/Pearson-VUE-businesses/Certiport.aspx
Uhlich Children's Advantage Network dba UCANæ,41.8585365,-87.7089497,1615 S Christiana Ave,North Lawndale,60623,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career advising/counseling,
Uhlich Children's Advantage Network dba UCANæ,41.8678031,-87.710441,1111 S Homan Ave,North Lawndale,60624,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career advising/counseling,
Uhlich Children's Advantage Network dba UCANæ,41.9496101,-87.6991899,3737 N Mozart St,Irving Park East,60618,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career advising/counseling,
Alternative Schools Network,41.9631175,-87.6748518,1815 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Job Training and Placement Supports,Career Development,Career focused instruction,http://www.asnchicago.org/ys3
Alternative Schools Network,41.9631175,-87.6748518,1816 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Job Training and Placement Supports,Career Development,Employment retention,http://www.asnchicago.org/ys3
Envision Unlimited - Halas Vocation Center,41.7387708,-87.6415504,8566 S Vincennes Ave,Auburn Gresham,60620,Chicago,Illinois,Job Training and Placement Supports,Career Development,Employment retention,http://www.envisionunlimited.org/
Leaders Up,41.87647,-87.648036,815 W Van Buren,West Loop,60607,Chicago,Illinois,Job Training and Placement Supports,Career Development,Employment retention,http://www.leadersup.org/community/
Metropolitan Family Services,41.7071503,-87.6172774,235 E 103Rd Street,Roseland,60628,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
Metropolitan Family Services,41.7784729,-87.6446084,6343 S Halsted St,Englewood,60621,,Illinois,Job Training and Placement Supports,Career Development,Employment retention,https://www.metrofamily.org/about-us/
